"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"Crisis del Capitalismo Global, La (Spanish Edition)","Soros, George","Sudamericana","1999-01-01","Tapa blanda","","","","Spanish","9789500715324","","https://www.amazon.com/dp/9500715325?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/5187AWuYSkL._SL500_.jpg","","","19.5","Theory","3.48","05/14/2025","","","","","","","","Estante A"
"Desayuno En Tiffanys (Spanish Edition)","Capote, Truman","DEBOLS!LLO","2006","Tapa blanda","155","","","Spanish","9789875661547","","https://www.amazon.com/dp/9875661546?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41ECPJH50OL._SL500_.jpg","It is New York in the l940s. ln the expensive jewelry store Tiffany's, Holly Golightly feels calm and safe. The rest of her life is very different Every night is party night in her apartment. Men come and go; everything is possible. But Holly is searching for her place in the world.
Can any of these men offer her happiness?
Can she ever belong?","","40.85","Literature & Fiction","3.83","05/15/2025","","","","","","","","Estante C"
"Diario de un escribiente","","","1988","Tapa blanda","192","","","es","","","http://books.google.com.uy/books?id=rx36jwEACAAJ&dq=8483772272&hl=&source=gbs_api","","","","","","","Prosa literaria guatemalteca","","05/15/2025","","","","","","","","Estante C"
"Diccionario de incorrecciones y particularidades del lenguaje","Chavarría, Andrés Santamaría","","1967","Tapa blanda","528","","","es","","","http://books.google.com.uy/books?id=d-wjAAAAMAAJ&dq=diccionario+de+incorrecci%C3%B3n+es+y+particularidades+del+lenguaje&hl=&source=gbs_api","","","https://books.google.com/books/content?id=d-wjAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","","","","Spanish language","","05/14/2025","","","","","","","","Estante A"
"Diez obras de fin de siglo","S., Ramón Griffero","","2005","Tapa blanda","316","","","es","9789501200102","","http://books.google.com.uy/books?id=LnFlAAAAMAAJ&dq=9789501200102&hl=&source=gbs_api","","","https://books.google.com/books/content?id=LnFlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","","","","","","05/15/2025","","","","","","","","Estante C"
"Dona Flor e Seus Dois Maridos","Amado, Jorge","Público ","","Tapa blanda","","","","por","9788493264505","","https://www.goodreads.com/book/show/6480855-dona-flor-e-seus-dois-maridos","","","","Dona Flor e Seus Dois Maridos conta a história de Florípedes Paiva, que conhece em seus dois casamentos a dupla face do amor: com o boêmio Vadinho, Flor vive a paixão avassaladora, o erotismo febril, o ciúme que corrói. Com o farmacêutico Teodoro, com quem se casa depois da morte do primeiro marido, encontra a paz doméstica, a segurança material, o amor metódico.","","","Fiction","4.03","05/15/2025","","","","","","","","Estante C"
"El astillero","Onetti, Juan Carlos","Cátedra","2001-12-31","Tapa blanda","","","","spa","9788437604336","","https://www.goodreads.com/book/show/69787.El_astillero","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386574751l/69787._SY160_.jpg","En El astillero alcanzan su madurez, el resplandor más compacto de la derrota, dos invenciones notables de Onetti: el fugaz antihéroe Larsen y la imperecedera, pero nunca nueva, ciudad de Santa María; esa ciudad portuaria que lo mismo podría ser el fantasma de Montevideo o de Buenos Aires, que está cerca de la ciudad argentina de rosario pero no pertenece a país alguno. Otra vez, frente a este proxeneta con rasgos místicos -Larsen-, canalla con tanto de hundido como de salvado; frente a esta ciudad inexistente en la realidad pero verdadera, de ficción pero no de juguete, podemos caer en la tentación de felicitar a Onetti por presentar un pedazo descarnado de latinoamérica, sin exotismo ni prodigios, sin utilizar la impotencia y la erosión para exportar como un folclore alegre y vendible. Pero cualquier habitante de Europa del Este, de los años 30 o de los posteriores a la segunda guerra, podría encontrar en esta ciudad catastrófica tantos factores en común como un latinoamericano o un norteamericano de una desolada ciudad del sur. La ambición de Larsen por conquistar a una débil mental -o loca- recuerda la novela serial de Isaac B. Singer, Shosha, ambientada a fines de los 30 en Polonia, y en juntacadáveres Larsen tiene más de un punto de contacto con el proxeneta polaco Max que protagoniza la novela de Singer Escoria. No son los continentes ni las épocas, ni las ideas políticas, las que unen los libros o forman generaciones literarias, sino un efluvio inmaterial constituido de reflejos deformados del alma humana, que inquieta a los lectores de cualquier tiempo y lugar.","","","1001-books","3.79","05/15/2025","","","","","","","","Estante C"
"El banquete celestial / The Heavenly Table Donald Ray Pollock (Spanish Edition)","Pollock, Donald Ray; Calvo, Javier","Literatura Random House","2017-06-27","Tapa blanda","416","","","Spanish","9788439732235","","https://www.amazon.com/dp/8439732236?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41IjYRUPy2L._SL500_.jpg","La nueva novela del norteamericano Donald Ray Pollock es un western que se mueve en el territorio de McCarthy, Faulkner y O'Connor, y que mezcla la satira con saludables dosis de violencia cinematografica al mas puro estilo de Peckinpah, Tarantino o los Cohen. 

Año 1917, en algún lugar olvidado de la frontera entre Georgia y Alabama. El anciano Pearl Jewett muere dejando a sus tres hijos varones para que prosigan con sus miserables existencias. Hasta ahora han llevado una vida honrada, convencidos de que su rectitud sería recompensada con un suculento banquete en el Paraíso. Pero los hermanos Jewett se han cansado de esperar al Cielo, e inspirados por las heroicas aventuras del villano literario Billy Bucket, ensillan sus caballos y atracan su primer banco.

El banquete celestial se mueve en el territorio de McCarthy, Faulkner y O´Connor, y mezcla la sátira con saludables dosis de violencia cinematográfica al más puro estilo de Peckinpah, Tarantino o los Cohen. Este western descarnado y desmesurado es también el retrato coral de una población en vías de adaptación al nuevo siglo, un lugar repleto de posibilidades adonde, día tras día, llegan los voluntarios para alistarse a la Gran Guerra pero también un agujero que oculta peligros en los rincones más insospechados.","","25.33","Historical","4.09","05/10/2025","","","","","","","","Estante A"
"El Camino a la Libertad (Spanish Edition)","Corchs, Alejandro; Spangenberg, Alejandro; Castiglioni, Cecilia; Cabral, Ciruelo","Purificación","2011-08-22","Tapa blanda","138","","","Spanish","9789974984004","","https://www.amazon.com/dp/9974984009?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/414Tv5DIjnS._SL500_.jpg","Alejandro Corchs es autor de varios éxitos editoriales. En ellos relata su historia familiar como hijo de desaparecidos de la dictadura argentina, y cuenta cómo encontró la sanación a través del camino espiritual indígena, convirtiéndose en Hombre Medicina y Líder Espiritual de las Tradiciones Nativas de América. La unió de la familia continúa el recorrido, emprendido por El camino del puma (2013), que cualquier persona en busca de su espiritualidad debe recorrer. Segundo volumen de la trilogía El regreso de los hijos de la Tierra. «Es maravilloso y también doloroso el camino que Alejandro Corchs comparte con nosotros a lo largo de este relato, con inigualable sencillez. Una sencillez que, con seguridad, va a permitir que quienes lo lean puedan identificarse fácilmente con el autor y, quién sabe, a partir de ahí arriesgarse a iniciar su propio camino hacia la sanación de sus vidas. Alejandro Corchs tiene el don de unir lo extraordinario con lo cotidiano, estableciendo, en la práctica de su escritura, la coherencia entre lo que cuenta y cómo lo cuenta. Solo resta agradecerle por este nuevo libro y esperar que abra tantos caminos hacia el corazón y la Unión de la Familia Humana como lo hizo con El camino del puma.» Alejandro Spangenberg, Hijo del Trueno","","14.99","Self-Help","3.81","05/10/2025","","","","","","","","Estante A"
"El Desafio Mundial","Servan-Schreiber, Jean-Jacques","Impreso en Espana","1980","Tapa dura","311","","","Spanish","","","https://www.amazon.com/dp/8401370655?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51eANHlJu8L._SL500_.jpg","","","7.99","World","3.68","05/14/2025","","","","","","","","Estante A"
"El día de la langosta","West, Nathanael","Banda Oriental","","Tapa blanda","","","","","9789974113749","","","","","","","","","","","05/14/2025","","","","","","","","Estante A"
"EL ESPIA QUE SURGIO DEL FRIO","Carré, John Le; Morón, Nieves","Bruguera.","1982","Tapa blanda","256","George Smiley","","English","","","https://www.amazon.com/dp/8402071880?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51h5w4vgR8L._SL500_.jpg","In this classic, John le Carre's third novel and the first to earn him international acclaim, he created a world unlike any previously experienced in suspense fiction. With unsurpassed knowledge culled from his years in British Intelligence, le Carre brings to light the shadowy dealings of international espionage in the tale of a British agent who longs to end his career but undertakes one final, bone-chilling assignment. When the last agent under his command is killed and Alec Leamas is called back to London, he hopes to come in from the cold for good. His spymaster, Control, however, has other plans. Determined to bring down the head of East German Intelligence and topple his organization, Control once more sends Leamas into the fray -- this time to play the part of the dishonored spy and lure the enemy to his ultimate defeat.","","8.06","Subjects","4.09","05/15/2025","","","","","","","","Estante C"
"El Factor humano","Greene, Graham"," Emecé Editores","","Tapa blanda","","","","spa","","","https://www.goodreads.com/book/show/9746133-el-factor-humano","","","","En una pequeña y gris subdirección del servicio secreto inglés, el descubrimiento de que se están produciendo filtraciones de información desencadena una tensa investigación en la que sólo hay dos sospechosos: un soltero con problemas con el juego y la bebida, y un veterano a punto de jubilarse. Un clásico que aúna la intriga, la tensión narrativa y una profunda comprensión del ser humano. Una de las más perfectas tramas de espionaje que jamás se han escrito. Novela llevada al cine por Otto Preminger en 1979.","","","Fiction","3.91","05/15/2025","","","","","","","","Estante C"
"El juego de la pasión","Kosiński, Jerzy; Silva, Jaime","Bruguera","","Tapa blanda","","","","spa","","","https://www.goodreads.com/book/show/41766185-el-juego-de-la-pasi-n","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536573862l/41766185._SX98_.jpg","El juego de la pasión cierra el ciclo de novelas de Kosinski destinado a definir al individuo que se defiende de la sociedad. Fabián, su protagonista, es un jugador de polo profesional que se desplaza a través de los Estados Unidos al volante de un trailer gigantesco que contiene todas sus pertenencias, incluidos sus dos caballos. La travesía del mundo americano de este nuevo Lancelote, de este anti-Quijote por los torneos modernos, es sin duda un viaje iniciático, el transcurso de una vida que busca su nuevo Grial: pruebas secretas, destinos inverosímiles, combates que incluyen a otros caballeros, a la mujer y a la muerte. Pero se trata de una historia de caballería que también presenta los resortes más misteriosos y terribles de nuestra época: la violencia sexual, la perversión, el crimen. Es decir, este nuevo Quijote ya no lee novelas caballerescas, lee a Maquiavelo y Hadley Chase, aunque la pasión de Fabián siga centrada en el caballo y los rituales de la carne sólo sean el contrapunto de un universo que huye hacia el fracaso. Pero más allá de los errores de la sociedad americana y de la jet-society internacional, se impone una pureza: la unión del hombre y el caballo, de donde nace una intensa y mítica emoción salvadora.","","","Fiction","3.49","05/15/2025","","","","","","","","Estante C"
"El Peligro de La Ambicion (Spanish Edition)","M, Margolin Phillip","Vergara Editor S.A.","1997-01-01","Tapa blanda","","","","Spanish","9789501518085","","https://www.amazon.com/dp/9501518086?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41id8vMzWYL._SL500_.jpg","","","5.99","Literature & Fiction","3.93","05/14/2025","","","","","","","","Estante A"
"El perseguidor y otros relatos","Cortázar, Julio; Cousté, Alberto","Barcelona: Bruguera - Arte Literatura","","Tapa blanda","","","","spa","9788402064295","","https://www.goodreads.com/book/show/2161958.El_perseguidor_y_otros_relatos","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488673600l/2161958._SY160_.jpg","Los relatos de Julio Cortázar constituyen uno de los ejes esenciales de su gran obra narrativa. Si en sus novelas la búsqueda de una nueva expresión de la realidad, acepta incluso los riesgos de una audaz y brillante experimentación formal, en los relatos la perfección de la forma pretende no alterar la descripción de los espacios ambiguos, incomprensibles, fantásticos de la realidad. Ciñendose por tanto a una prosa sólo aparentemente realista, Cortázar logra crear, de pronto, un imprevisto, inquietante pasaje de un mundo cuyos códigos creemos conocer a otro cuyos misterios, encantos y horrores escapan a la comprensión. Y no por ello, sin embargo, son mundos diversos; la percepción de la realidad no es completa si serena, por temor o dogmatismo, sus aspectos mágicos o fantasmagóricos.

En estos veintiún relatos de Julio Cortázar, entre los que se encuentran los más perfectos de toda su obra ""El Perseguidor"", ""La autopista del Sur"", ""Casa tomada"", ""El otro cielo"", ""Cartas de mamá"", ""Después del almuerzo"", surge en todo su esplendor la gran cualidad narrativa que ha situado al autor entre los principales escritores en lengua castellana.

La vida de Cortázar se caracteriza por la riqueza de lugares en los que ha habitado. Desde Bruselas y Bandfield, hasta Mendoza y París. Esta edición incluyen fotografías y testimonios del paso de Cortázar por Buenos Aires.","","","Fiction","4.17","05/15/2025","","","","","","","","Estante C"
"El Plan de Marketing : Como Elaborarlo con Ayuda Informática Contiene Programa Informatico","Author, Unknown","","","Tapa dura","","","","Spanish","9788473561426","","https://www.amazon.com/dp/8473561422?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41KsUD49pbL._SL500_.jpg","","","4.0","Subjects","0","05/14/2025","","","","","","","","Estante A"
"El puente de los asesinos","Pérez-Reverte, Arturo","Alfaguara","","Tapa blanda","","Las aventuras del capitán Alatriste","","","9789974955127","","","/Pictures/Icons/9789974955127_1.jpg","/Pictures/Photos/9789974955127_1.jpg","","","","","","","05/14/2025","","","","","","","","Estante A"
"El Satiricon",", Petronius; Árbitro, Cayo Petronio; Arias, Ripoll","Ediciones 29.","1992","Tapa blanda","252","","","Spanish","","","https://www.amazon.com/dp/847175150X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41id8vMzWYL._SL500_.jpg","The Satyricon is the most celebrated prose work to have survived from the ancient world. It can be described as the first realistic novel, the father of the picaresque genre. It recounts the sleazy progress of a pair of literate scholars as they wander through the cities of the southern Mediterranean in the age of Nero, encountering en route type-figures whom the author wishes to satirize. P.G. Walsh captures the spirit of the original in this new and lively translation. His introduction and detailed notes provide the reader with a comprehensive guide to the meanings and intentions of the story and the later history of its literary influence.","","5.99","Satire","3.78","05/15/2025","","","","","","","","Estante C"
"El último tango en París","Alley, Robert","","1973-01-01","Tapa blanda","","","","","","","https://www.goodreads.com/book/show/36105566-el-ltimo-tango-en-par-s","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503425586l/36105566._SX98_.jpg","The novelization is taken from the script by Bertolucci and Franco Arcalli, and it is at least commendably brief. The book also comes with eight pages of black-and-white stills.","","","Fiction","2.98","05/15/2025","","","","","","","","Estante C"
